rowid,toi,toipfx,tid,ctoi_alias,pl_pnum,tfopwg_disp,rastr,ra,raerr1,raerr2,decstr,dec,decerr1,decerr2,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmrasymerr,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,st_pmdecsymerr,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tranmidsymerr,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpersymerr,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandurhsymerr,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandepsymerr,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radesymerr,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_insolsymerr,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_eqtsymerr,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_tmagsymerr,st_dist,st_disterr1,st_disterr2,st_distlim,st_distsymerr,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffsymerr,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_loggsymerr,st_rad,st_raderr1,st_raderr2,st_radlim,st_radsymerr,toi_created,rowupdate
1,1000.01,1000,50365310,50365310.01,1,PC,07h29m25.85s,112.357708,,,-12d41m45.46s,-12.69596,,,-5.964,0.085,-0.085,0,1,-0.076,0.072,-0.072,0,1,2458493.384,0.00387,-0.00387,0,1,2.17153,0.00068,-0.00068,0,1,1.937,0.23,-0.23,0,1,720,1.40612,-1.40612,0,1,5.5648,0.338744,-0.338744,0,1,6563.75,,,,,2507,,,,,9.604,0.013,-0.013,0,1,485.735,11.9515,-11.9515,0,1,10249,264.7,-264.7,0,1,4.19,0.07,-0.07,0,1,2.17,0.07,-0.07,0,1,3/26/2019 13:55,10/30/2020 1:59
2,1001.01,1001,88863718,88863718.01,1,PC,08h10m19.31s,122.580465,,,-05d30m49.87s,-5.513852,,,-4.956,0.102,-0.102,0,1,-15.555,0.072,-0.072,0,1,2458492.839,0.00356,-0.00356,0,1,1.93217,0.00054,-0.00054,0,1,3.447,0.243,-0.243,0,1,980,0.698388,-0.698388,0,1,5.80204,0.318932,-0.318932,0,1,5753,,,,,2426,,,,,9.42344,0.006,-0.006,0,1,295.862,5.91,-5.91,0,1,7070,126.4,-126.4,0,1,4.03,0.09,-0.09,0,1,2.01,0.09,-0.09,0,1,3/26/2019 13:55,5/20/2020 16:00
3,1002.01,1002,124709665,124709665,1,PC,06h58m54.47s,104.726966,,,-10d34m49.64s,-10.580455,,,-1.462,0.206,-0.206,0,1,-2.249,0.206,-0.206,0,1,2458492.602,0.00113,-0.00113,0,1,1.86722,0.00016,-0.00016,0,1,1.926,0.122,-0.122,0,1,1630,708.41,-708.41,0,1,51.1665,,,0,1,38023.4,,,,,3890,,,,,9.299501,0.058,-0.058,0,1,943.109,106.333,-106.333,0,1,8924,124,-124,0,1,,,,0,1,5.73,,,0,1,3/26/2019 13:55,10/30/2020 1:59
4,1003.01,1003,106997505,106997505,1,FP,07h22m14.39s,110.559945,,,-25d12m25.26s,-25.207017,,,-0.939,0.041,-0.041,0,1,1.64,0.055,-0.055,0,1,2458493.396,0.00535,-0.00535,0,1,2.74323,0.00108,-0.00108,0,1,3.167,0.642,-0.642,0,1,383.410004,0.781988,-0.781988,0,1,,,,0,1,1177.359985,,,,,1631,,,,,9.3003,0.037,-0.037,0,1,7728.17,1899.57,-1899.57,0,1,5388.5,567,-567,0,1,4.15,1.64,-1.64,0,1,,,,0,1,3/26/2019 13:55,12/17/2019 10:00
5,1004.01,1004,238597883,238597883,1,PC,08h08m42.77s,122.178195,,,-48d48m10.12s,-48.802811,,,-4.496,0.069,-0.069,0,1,9.347,0.062,-0.062,0,1,2458493.512,0.00653,-0.00653,0,1,3.57491,0.00146,-0.00146,0,1,2.576,0.346,-0.346,0,1,500,1.07966,-1.07966,0,1,4.75276,0.279769,-0.279769,0,1,2929.87,,,,,2049,,,,,9.1355,0.006,-0.006,0,1,356.437,4.6175,-4.6175,0,1,9219,171.1,-171.1,0,1,4.14,0.07,-0.07,0,1,2.15,0.06,-0.06,0,1,3/26/2019 13:55,10/30/2020 1:59
6,1005.01,1005,169904935,169904935,1,FP,08h02m49.15s,120.704811,,,-11d06m05.48s,-11.101521,,,-26.932,1.935,-1.935,0,1,-2.901,2.06,-2.06,0,1,2458492.555,0.00106,-0.00106,0,1,4.55072,0.00033,-0.00033,0,1,2.599,0.284,-0.284,0,1,3620,2.1771,-2.1771,0,1,6.54449,0.45717,-0.45717,0,1,254.05,,,,,1112,,,,,9.1309,0.006,-0.006,0,1,100.711,14.121,-14.121,0,1,5613,179.9,-179.9,0,1,,,,0,1,1.09,0.07,-0.07,0,1,3/26/2019 13:55,5/20/2020 16:00
7,1006.01,1006,156115721,156115721,1,PC,08h17m26.22s,124.359239,,,-27d16m24.68s,-27.273521,,,-29.1,2.6,-2.6,0,1,-6.8,2.2,-2.2,0,1,2458493.677,0.00254,-0.00254,0,1,2.50443,0.0005,-0.0005,0,1,3.185,0.615,-0.615,0,1,1250,2.41997,-2.41997,0,1,6.08324,5.90832,-5.90832,0,1,6874.38,,,,,2536,,,,,9.2386,0.006,-0.006,0,1,,,,0,1,6616,200,-200,0,1,,,,0,1,1.53,1.49,-1.49,0,1,3/26/2019 13:55,10/30/2020 1:59
8,1007.01,1007,65212867,65212867.01,1,PC,07h31m00.57s,112.752393,,,-04d27m48.09s,-4.463359,,,0.357,0.058,-0.058,0,1,3.399,0.045,-0.045,0,1,2458492.041,0.00107,-0.00107,0,1,6.99823,0.00058,-0.00058,0,1,4.314,0.471,-0.471,0,1,2820,0.759823,-0.759823,0,1,15.5416,0.788602,-0.788602,0,1,1414.33,,,,,1708,,,,,8.87759,0.006,-0.006,0,1,283.291,3.0025,-3.0025,0,1,6596,139.2,-139.2,0,1,3.71,0.09,-0.09,0,1,2.7,0.13,-0.13,0,1,3/26/2019 13:55,5/20/2020 16:00
9,1008.01,1008,440801822,440801822,1,FP,07h17m31.88s,109.382839,,,+13d23m42.79s,13.395219,,,-17.9,1.1,-1.1,0,1,1.3,1,-1,0,1,2458492.521,0.00579,-0.00579,0,1,2.04936,0.00105,-0.00105,0,1,2.234,0.401,-0.401,0,1,249.5,0.564034,-0.564034,0,1,1.71607,0.318238,-0.318238,0,1,2107.050049,,,,,1887,,,,,8.9362,0.012,-0.012,0,1,144.297,,,0,1,6858.5,584.599976,-584.599976,0,1,4.2,1.9,-1.9,0,1,0.99,0.18,-0.18,0,1,3/26/2019 13:55,3/4/2020 12:58
10,1009.01,1009,107782586,107782586,1,PC,07h26m40.28s,111.667845,,,-24d27m43.6s,-24.462111,,,-3.297,0.319,-0.319,0,1,4.849,0.358,-0.358,0,1,2458492.253,0.00166,-0.00166,0,1,1.96022,0.00026,-0.00026,0,1,1.611,0.359,-0.359,0,1,1420,31.2109,-31.2109,0,1,,,,0,1,15070.9,,,,,3086,,,,,8.4331,0.028,-0.028,0,1,866.147,172.097,-172.097,0,1,8868.7,809.8,-809.8,0,1,,,,0,1,,,,0,1,3/26/2019 13:55,10/30/2020 1:59
11,101.01,101,231663901,231663901,1,KP,21h14m56.88s,318.737012,,,-55d52m18.71s,-55.871863,,,12.641,0.044,-0.044,0,1,-16.011,0.041,-0.041,0,1,2459036.904,0.000393,-0.000393,0,1,1.430343,0.00004,-0.00004,0,1,1.637794,0.026852,-0.026852,0,1,19976.63002,240.31696,-240.31696,0,1,13.576368,0.683587,-0.683587,0,1,1281.272865,,,,,1525.914348,,,,,12.4069,0.006,-0.006,0,1,375.31,4.411,-4.411,0,1,5600,,,0,1,4.48851,,,0,1,0.890774,0.043847,-0.043847,0,1,9/5/2018 18:34,9/19/2020 10:00
12,1010.01,1010,139853601,139853601,1,PC,07h29m10.56s,112.293981,,,-21d49m58.48s,-21.832912,,,-5.746,0.176,-0.176,0,1,4.502,0.261,-0.261,0,1,2458492.258,0.00118,-0.00118,0,1,0.68088,0.00006,-0.00006,0,1,1.458,0.036,-0.036,0,1,1580,157.194,-157.194,0,1,,,,0,1,182419,,,,,5757,,,,,8.45086,0.006,-0.006,0,1,485.122,36.246,-36.246,0,1,9438,782,-782,0,1,,,,0,1,,,,0,1,3/26/2019 13:55,10/30/2020 1:59
13,1011.01,1011,114018671,114018671,1,PC,07h35m56.34s,113.984761,,,-32d50m31.2s,-32.841999,,,145.102,0.046,-0.046,0,1,-134.901,0.052,-0.052,0,1,2458492.444,0.0073,-0.0073,0,1,2.46992,0.00137,-0.00137,0,1,2.151,0.387,-0.387,0,1,200,0.816388,-0.816388,0,1,1.33963,0.12163,-0.12163,0,1,507.741,,,,,1322,,,,,8.2388,0.006,-0.006,0,1,52.62,0.0793,-0.0793,0,1,5413.7,132.8,-132.8,0,1,4.46,0.09,-0.09,0,1,0.94,0.05,-0.05,0,1,3/26/2019 13:55,10/30/2020 1:59
14,1012.01,1012,427508467,427508467,1,PC,07h48m22.87s,117.095285,,,+06d47m06.23s,6.785064,,,-2.99,0.202,-0.202,0,1,-0.029,0.106,-0.106,0,1,2458492.104,0.00077,-0.00077,0,1,0.88425,0.00004,-0.00004,0,1,1.657,0.052,-0.052,0,1,1760,78.5863,-78.5863,0,1,16.5334,2.77015,-2.77015,0,1,105841,,,,,5024,,,,,8.12718,0.006,-0.006,0,1,295.959,11.315,-11.315,0,1,8928,128.7,-128.7,0,1,3.92,0.08,-0.08,0,1,2.72,0.13,-0.13,0,1,3/26/2019 13:55,5/20/2020 16:00
15,1013.01,1013,97700520,97700520.01,1,PC,07h09m08.66s,107.286063,,,-31d56m00.68s,-31.933523,,,-3.973,0.063,-0.063,0,1,7.061,0.071,-0.071,0,1,2458494.368,0.00107,-0.00107,0,1,5.4298,0.0005,-0.0005,0,1,3.779,0.13,-0.13,0,1,15610,501.159,-501.159,0,1,,,,0,1,4847.57,,,,,2324,,,,,7.6095,0.006,-0.006,0,1,510.295,9.32,-9.32,0,1,8868.7,809.8,-809.8,0,1,,,,0,1,,,,0,1,3/26/2019 13:55,2/19/2021 10:00
16,1014.01,1014,96246348,96246348.01,1,PC,06h54m14.78s,103.561602,,,-34d13m22.15s,-34.22282,,,-13.063,0.078,-0.078,0,1,9.737,0.141,-0.141,0,1,2459201.973,0.000311,-0.000311,0,1,1.409531,0.00003,-0.00003,0,1,1.34066,0.020151,-0.020151,0,1,3488.046877,69.69911,-69.69911,0,1,,,,0,1,1650.402759,,,,,1625.613266,,,,,7.678,0.012,-0.012,0,1,224.672,2.8445,-2.8445,0,1,9307,938.9,-938.9,0,1,,,,0,1,,,,0,1,3/26/2019 13:55,2/19/2021 16:00
17,1015.01,1015,155044736,155044736,1,PC,08h11m35.03s,122.895964,,,-27d58m18.83s,-27.971896,,,1.566,0.052,-0.052,0,1,-17.974,0.053,-0.053,0,1,2458493.081,0.00523,-0.00523,0,1,1.37259,0.00036,-0.00036,0,1,1.794,0.294,-0.294,0,1,730,2.02629,-2.02629,0,1,18.1328,,,0,1,748.391,,,,,1457,,,,,10.7069,0.008,-0.008,0,1,906.496,28.8415,-28.8415,0,1,4897,122,-122,0,1,,,,0,1,6.8,,,0,1,4/1/2019 16:51,10/30/2020 1:59
18,1016.01,1016,175310067,175310067,1,FP,07h44m26.59s,116.110771,,,-36d05m53.83s,-36.098285,,,-9.231,0.048,-0.048,0,1,11.614,0.052,-0.052,0,1,2458502.264,0.00249,-0.00249,0,1,12.70907,0.00065,-0.00065,0,1,7.046,0.357,-0.357,0,1,3940,507.85,-507.85,0,1,19.5052,3.85702,-3.85702,0,1,3840.6,,,,,2193,,,,,10.6257,0.006,-0.006,0,1,368.646,3.784,-3.784,0,1,7601,135.8,-135.8,0,1,4.31,0.08,-0.08,0,1,1.54,0.05,-0.05,0,1,4/1/2019 16:52,1/2/2021 12:01
19,1017.01,1017,182943944,182943944,1,FP,08h18m54.34s,124.726411,,,-37d46m59.7s,-37.78325,,,-11.278,0.045,-0.045,0,1,9.593,0.045,-0.045,0,1,2458518.965,0.00137,-0.00137,0,1,1.10422,0.00013,-0.00013,0,1,2.37,0.062,-0.062,0,1,14177.7002,843.788025,-843.788025,0,1,21.0448,5.22012,-5.22012,0,1,39459.30078,,,,,3926,,,,,10.6019,0.006,-0.006,0,1,406.997,4.7245,-4.7245,0,1,6995.200195,157,-157,0,1,4.07,0.55,-0.55,0,1,1.61,0.07,-0.07,0,1,4/1/2019 16:52,12/17/2019 10:00
20,1018.01,1018,291555748,291555748,1,FP,07h26m51.84s,111.716019,,,-50d15m59.64s,-50.266567,,,-8.018,0.049,-0.049,0,1,11.56,0.047,-0.047,0,1,2458492.781,0.00073,-0.00073,0,1,4.95912,0.00016,-0.00016,0,1,2.509,0.13,-0.13,0,1,7440,197.962,-197.962,0,1,22.9123,3.28055,-3.28055,0,1,673.55,,,,,1419,,,,,10.6254,0.006,-0.006,0,1,360.541,2.9645,-2.9645,0,1,5889,124.3,-124.3,0,1,3.86,0.07,-0.07,0,1,2,0.09,-0.09,0,1,4/1/2019 16:52,11/26/2020 12:00
21,1019.01,1019,341420329,341420329,1,PC,08h00m35.52s,120.147994,,,-54d52m42.79s,-54.878552,,,-11.732,0.047,-0.047,0,1,2.586,0.061,-0.061,0,1,2458494.436,0.00025,-0.00025,0,1,5.23416,0.00006,-0.00006,0,1,3.544,0.142,-0.142,0,1,22240,3.34354,-3.34354,0,1,23.8497,0.799153,-0.799153,0,1,1150.54,,,,,1622,,,,,10.6348,0.006,-0.006,0,1,399.544,4.1635,-4.1635,0,1,7645,134.4,-134.4,0,1,4.3,0.08,-0.08,0,1,1.56,0.05,-0.05,0,1,4/1/2019 16:51,10/30/2020 1:59
22,102.01,102,149603524,149603524,1,KP,05h48m33.56s,87.139821,,,-63d59m17.98s,-63.988329,,,-15.641,0.037,-0.037,0,1,26.046,0.037,-0.037,0,1,2459204.054,0.000209,-0.000209,0,1,4.412002,0.00007,-0.00007,0,1,3.763715,0.016937,-0.016937,0,1,13834.06524,59.51819,-59.51819,0,1,14.554237,0.652639,-0.652639,0,1,673.776826,,,,,1299.417667,,,,,9.7109,0.006,-0.006,0,1,175.631,0.588,-0.588,0,1,6280,,,0,1,4.32092,,,0,1,1.21427,0.054221,-0.054221,0,1,9/5/2018 18:34,2/18/2021 16:00
23,1020.01,1020,140706664,140706664,1,FP,08h33m31.67s,128.381976,,,-43d49m42.32s,-43.828421,,,-5.814,0.051,-0.051,0,1,4.328,0.047,-0.047,0,1,2458521.291,0.00241,-0.00241,0,1,3.28892,0.00066,-0.00066,0,1,3.793,0.202,-0.202,0,1,10518.90039,530.607971,-530.607971,0,1,,,,0,1,29832.59961,,,,,3661,,,,,10.7173,0.013,-0.013,0,1,906.827,23.8635,-23.8635,0,1,8734.200195,283.600006,-283.600006,0,1,4.1,1.45,-1.45,0,1,,,,0,1,4/1/2019 16:52,3/4/2020 12:58
24,1021.01,1021,143994283,143994283,1,FP,07h57m12.18s,119.30075,,,-42d59m56.94s,-42.999149,,,-3.211,0.046,-0.046,0,1,-15.082,0.051,-0.051,0,1,2458492.904,0.00426,-0.00426,0,1,1.90879,0.00035,-0.00035,0,1,1.909,0.231,-0.231,0,1,618.481995,1.43774,-1.43774,0,1,3.34688,0.217749,-0.217749,0,1,985.807007,,,,,1561,,,,,10.5551,0.006,-0.006,0,1,235.974,1.579,-1.579,0,1,6022.600098,133.5,-133.5,0,1,4.52,0.39,-0.39,0,1,1.22,0.05,-0.05,0,1,4/1/2019 16:51,3/4/2020 12:58
25,1022.01,1022,47384844,47384844.01,1,PC,10h51m51.58s,162.96491,,,-05d47m19.35s,-5.788708,,,-15.787,0.09,-0.09,0,1,-11.849,0.077,-0.077,0,1,2458547.448,0.00834,-0.00834,0,1,3.09574,0.00677,-0.00677,0,1,4.475,1.196,-1.196,0,1,380,,,0,1,3.4262,0.778713,-0.778713,0,1,18087.90039,,,,,3230,,,,,8.72924,0.007,-0.007,0,1,120.666,1.068,-1.068,0,1,6084,111,-111,0,1,4.13,0.3,-0.3,0,1,1.41,0.05,-0.05,0,1,6/4/2019 14:32,1/6/2021 12:01
26,1023.01,1023,238374636,238374636,1,FP,08h03m21.05s,120.837688,,,-51d20m44.25s,-51.345626,,,-23.366,0.042,-0.042,0,1,22.652,0.04,-0.04,0,1,2458493.205,0.00061,-0.00061,0,1,1.3238,0.00002,-0.00002,0,1,3.162,0.024,-0.024,0,1,3450,221.188004,-221.188004,0,1,20.851601,3.81317,-3.81317,0,1,13560.5,,,,,3006,,,,,9.697,0.006,-0.006,0,1,316.398,2.247,-2.247,0,1,5050.799805,86.800003,-86.800003,0,1,3.56,0.4,-0.4,0,1,3.37,0.11,-0.11,0,1,6/11/2019 14:45,3/4/2020 12:58
27,1024.01,1024,141482386,141482386,1,FP,05h47m16.97s,86.820714,,,-72d25m21.4s,-72.422611,,,1.128,0.044,-0.044,0,1,11.563,0.047,-0.047,0,1,2458339.723,0.00592,-0.00592,0,1,18.0157,0.00015,-0.00015,0,1,2.524,0.403,-0.403,0,1,610,1.66317,-1.66317,0,1,21.644,,,0,1,7.64364,,,,,463,,,,,10.0814,0.006,-0.006,0,1,692.266,12.113,-12.113,0,1,4709,122,-122,0,1,,,,0,1,7.61,,,0,1,6/11/2019 14:45,11/14/2020 12:00
28,1025.01,1025,297967252,297967252,1,PC,09h30m05.08s,142.521159,,,-51d31m01.61s,-51.517114,,,-19.153,0.168,-0.168,0,1,11.046,0.178,-0.178,0,1,2458545.147,0.00122,-0.00122,0,1,9.68337,0.00093,-0.00093,0,1,2.353,0.084,-0.084,0,1,3950,519.29,-519.29,0,1,,,,0,1,921.226,,,,,1534,,,,,5.5324,0.006,-0.006,0,1,129.838,1.713,-1.713,0,1,8598.7,1245.7,-1245.7,0,1,,,,0,1,,,,0,1,6/11/2019 14:44,10/30/2020 1:59
29,1026.01,1026,388624270,388624270,1,PC,08h21m44.31s,125.434634,,,-51d45m33.99s,-51.759442,,,47.228,0.047,-0.047,0,1,-6.325,0.039,-0.039,0,1,2458528.418,0.00143,-0.00143,0,1,,,,0,1,7.841,0.388,-0.388,0,1,8060,62.509,-62.509,0,1,9.34144,0.869778,-0.869778,0,1,,,,,,,,,,,9.9138,0.006,-0.006,0,1,105.677,0.2575,-0.2575,0,1,5690,129,-129,0,1,4.58,0.08,-0.08,0,1,0.85,0.04,-0.04,0,1,6/11/2019 14:45,10/30/2020 1:59
30,1027.01,1027,20318757,20318757.01,1,PC,11h08m31.99s,167.133275,,,-29d39m11.29s,-29.653135,,,-87.554,0.073,-0.073,0,1,12.992,0.057,-0.057,0,1,2458547.164,0.00324,-0.00324,0,1,3.28627,0.00084,-0.00084,0,1,1.815,0.461,-0.461,0,1,1480,5.98746,-5.98746,0,1,3.01525,0.32588,-0.32588,0,1,207.402,,,,,1057,,,,,10.2103,0.006,-0.006,0,1,56.3449,0.13245,-0.13245,0,1,4272,122.7,-122.7,0,1,4.6,0.11,-0.11,0,1,0.68,0.06,-0.06,0,1,6/11/2019 14:45,10/30/2020 1:59
31,1028.01,1028,447283466,447283466,1,FP,10h28m23.6s,157.098337,,,-51d42m19.47s,-51.705409,,,30.65,0.054,-0.054,0,1,-33.906,0.056,-0.056,0,1,2458544.481,0.00412,-0.00412,0,1,1.01606,0.00034,-0.00034,0,1,2.843,0.278,-0.278,0,1,240,0.375709,-0.375709,0,1,1.20704,0.09899,-0.09899,0,1,2784.04,,,,,2023,,,,,7.9059,0.006,-0.006,0,1,23.7748,0.02025,-0.02025,0,1,4634,120.9,-120.9,0,1,4.64,0.09,-0.09,0,1,0.68,0.05,-0.05,0,1,6/11/2019 14:45,5/20/2020 16:00
32,1029.01,1029,374908020,374908020,1,FP,05h54m57.38s,88.73909,,,-65d57m31.82s,-65.958839,,,,,,,,,,,,,2458365.893,0.00096,-0.00096,0,1,36.222141,0.00046,-0.00046,0,1,5.107,0.188,-0.188,0,1,7170,228.173004,-228.173004,0,1,,,,0,1,,,,,,,,,,,6.841,0,0,0,1,,,,0,1,,,,0,1,,,,0,1,,,,0,1,6/11/2019 14:45,3/4/2020 12:58
33,103.01,103,336732616,336732616,1,KP,20h49m49.8s,312.457488,,,-24d25m43.3s,-24.428694,,,10.426,0.07,-0.07,0,1,15.62,0.051,-0.051,0,1,2458327.253,0.000586,-0.000586,0,1,3.547854,0.000149,-0.000149,0,1,3.494333,0.049205,-0.049205,0,1,10424.3718,123.359314,-123.359314,0,1,14.581841,0.196435,-0.196435,0,1,1212.004376,,,,,1504.858953,,,,,11.5232,0.008,-0.008,0,1,411.211,7.752,-7.752,0,1,6351,,,0,1,4.22896,,,0,1,1.4,,,0,1,9/5/2018 18:34,10/27/2020 10:00
34,1030.01,1030,464296022,464296022,1,FP,10h23m19.55s,155.831478,,,-57d35m24.89s,-57.590248,,,-26.184,2.184,-2.184,0,1,22.489,1.073,-1.073,0,1,2458551.328,0.00132,-0.00132,0,1,12.12369,0.00076,-0.00076,0,1,4.849,0.211,-0.211,0,1,6142.77002,1221.97998,-1221.97998,0,1,9.25664,4.13505,-4.13505,0,1,223.195007,,,,,1076,,,,,9.5706,0.006,-0.006,0,1,78.41273,2.83992,-2.83992,0,1,4807.600098,60,-60,0,1,4.17,0.36,-0.36,0,1,1.07,0.03,-0.03,0,1,6/25/2019 15:58,3/4/2020 12:58
35,1031.01,1031,304021498,304021498,1,PC,09h23m32.13s,140.88389,,,-67d01m33.62s,-67.026006,,,-23.901,0.042,-0.042,0,1,3.03,0.047,-0.047,0,1,2458547.382,0.00245,-0.00245,0,1,5.65293,0.00037,-0.00037,0,1,2.928,0.325,-0.325,0,1,1180,1.16001,-1.16001,0,1,6.71636,0.358996,-0.358996,0,1,351.918,,,,,1206,,,,,9.7318,0.006,-0.006,0,1,270.771,1.6275,-1.6275,0,1,6415.4,103.2,-103.2,0,1,3.98,0.08,-0.08,0,1,1.92,0.08,-0.08,0,1,6/25/2019 15:58,10/30/2020 1:59
36,1032.01,1032,146589986,146589986,1,PC,10h36m53.16s,159.221506,,,-42d32m29.9s,-42.541639,,,-15.15,0.072,-0.072,0,1,6.437,0.087,-0.087,0,1,2458547.455,0.00221,-0.00221,0,1,5.66314,0.00116,-0.00116,0,1,3.748,0.202,-0.202,0,1,3650,1.68083,-1.68083,0,1,14.3662,0.750065,-0.750065,0,1,3475.18,,,,,2139,,,,,9.7611,0.006,-0.006,0,1,587.196,18.7865,-18.7865,0,1,10395,320.6,-320.6,0,1,4.13,0.07,-0.07,0,1,2.34,0.11,-0.11,0,1,6/11/2019 14:45,10/30/2020 1:59
37,1033.01,1033,149601557,149601557,1,FP,05h49m07.82s,87.282586,,,-60d29m54.4s,-60.498444,,,8.9,3.1,-3.1,0,1,20.7,2.2,-2.2,0,1,2459179.545,0.002126,-0.002126,0,1,29.01625,0.000115,-0.000115,0,1,6.507,0.763,-0.763,0,1,1440,1.89359,-1.89359,0,1,9.84223,,,0,1,159.189,,,,,,,,,,10.0163,0.006,-0.006,0,1,219.94,,,0,1,6113.1,,,0,1,,,,0,1,2.01,,,0,1,6/11/2019 14:45,2/18/2021 10:00
38,1034.01,1034,400595342,400595342,1,PC,08h57m46.02s,134.441752,,,-49d00m02.08s,-49.000578,,,-4.837,0.063,-0.063,0,1,4.109,0.062,-0.062,0,1,2458518.811,0.00684,-0.00684,0,1,3.64222,0.00093,-0.00093,0,1,2.757,0.57,-0.57,0,1,510,2.07009,-2.07009,0,1,3.65103,0.272363,-0.272363,0,1,4432.06,,,,,2273,,,,,9.8174,0.006,-0.006,0,1,363.44,4.983,-4.983,0,1,9810,173.7,-173.7,0,1,4.43,0.06,-0.06,0,1,1.61,0.04,-0.04,0,1,6/11/2019 14:44,10/30/2020 1:59
39,1035.01,1035,361413119,361413119,1,PC,09h36m36.07s,144.150273,,,-61d34m59.46s,-61.583182,,,-9.506,0.239,-0.239,0,1,16.897,0.207,-0.207,0,1,2458545.785,0.00141,-0.00141,0,1,6.07484,0.00075,-0.00075,0,1,2.324,0.315,-0.315,0,1,5410,17.1066,-17.1066,0,1,21.7247,1.74878,-1.74878,0,1,351.181,,,,,1206,,,,,10.1126,0.006,-0.006,0,1,347.556,13.63,-13.63,0,1,5964,128.4,-128.4,0,1,3.7,0.09,-0.09,0,1,2.43,0.15,-0.15,0,1,6/11/2019 14:45,10/30/2020 1:59
40,1036.01,1036,146172354,146172354,1,PC,10h31m28.11s,157.867112,,,-42d14m25.61s,-42.240448,,,10.992,0.037,-0.037,0,1,-57.748,0.049,-0.049,0,1,2458548.034,0.00186,-0.00186,0,1,3.78031,0.00054,-0.00054,0,1,3.188,0.392,-0.392,0,1,2850,2.1395,-2.1395,0,1,6.50939,0.377505,-0.377505,0,1,682.071,,,,,1423,,,,,10.2855,0.006,-0.006,0,1,184.015,0.962,-0.962,0,1,5771,132.3,-132.3,0,1,4.31,0.08,-0.08,0,1,1.18,0.06,-0.06,0,1,6/11/2019 14:45,10/30/2020 1:59
41,1037.01,1037,363260203,363260203,1,PC,09h49m32.44s,147.385172,,,-63d18m23.32s,-63.306478,,,-19.687,0.07,-0.07,0,1,10.953,0.068,-0.068,0,1,2458544.667,0.00691,-0.00691,0,1,1.20262,0.00056,-0.00056,0,1,1.915,0.488,-0.488,0,1,370,2.10192,-2.10192,0,1,3.289,0.293049,-0.293049,0,1,14407.9,,,,,3052,,,,,9.0211,0.006,-0.006,0,1,279.698,3.279,-3.279,0,1,9158,171.4,-171.4,0,1,4.32,0.07,-0.07,0,1,1.74,0.05,-0.05,0,1,6/11/2019 14:44,10/30/2020 1:59
42,1038.01,1038,90544017,90544017.01,1,FP,08h33m49.11s,128.454638,,,-49d56m25.25s,-49.940347,,,-15.5,1.6,-1.6,0,1,7,1.5,-1.5,0,1,2458519.045,0.0044,-0.0044,0,1,3.22374,0.00044,-0.00044,0,1,2.248,0.718,-0.718,0,1,570,1.96368,-1.96368,0,1,,,,0,1,4568.009766,,,,,2290,,,,,8.7157,0.006,-0.006,0,1,280.765,,,0,1,8904,239.899994,-239.899994,0,1,4.09,1.36,-1.36,0,1,,,,0,1,6/11/2019 14:45,3/4/2020 12:58
43,1039.01,1039,461867584,461867584,1,PC,09h58m45.25s,149.688545,,,-58d45m37.63s,-58.760453,,,-6.434,0.215,-0.215,0,1,4.098,0.246,-0.246,0,1,2458546.053,0.00083,-0.00083,0,1,4.42045,0.00013,-0.00013,0,1,4.38,0.446,-0.446,0,1,5980,1.38188,-1.38188,0,1,,,,0,1,,,,,,,,,,,8.5483,0.6,-0.6,0,1,2864.34,1012.54,-1012.54,0,1,,,,0,1,,,,0,1,,,,0,1,6/25/2019 15:58,10/30/2020 1:59
44,104.01,104,231670397,231670397,1,KP,21h19m47.93s,319.949697,,,-58d08m56.16s,-58.148933,,,10.552,0.045,-0.045,0,1,-10.658,0.043,-0.043,0,1,2459038.864,0.000955,-0.000955,0,1,4.087493,0.00032,-0.00032,0,1,5.602984,0.075253,-0.075253,0,1,3518.024086,47.758137,-47.758137,0,1,13.667798,0.670757,-0.670757,0,1,2242.218597,,,,,1755.048963,,,,,9.8638,0.006,-0.006,0,1,316.678,2.9655,-2.9655,0,1,6036,,,0,1,3.93359,,,0,1,2.21867,0.102573,-0.102573,0,1,9/5/2018 18:34,9/19/2020 10:00
